127.0.0.1 - - [06/Jun/2021:16:13:09 +0700] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/trangchu HTTP/1.1" 200 50515
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/css/stylesss.css HTTP/1.1" 200 33279
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/bannerhe.png HTTP/1.1" 200 693194
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/maybay.png HTTP/1.1" 200 47993
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/qr.png HTTP/1.1" 200 14068
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/fb.png HTTP/1.1" 200 34097
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/github.png HTTP/1.1" 200 8189
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/google.png HTTP/1.1" 200 42155
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/bannerbay.png HTTP/1.1" 200 341505
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/haian1.jpg HTTP/1.1" 200 207892
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/sale1.png HTTP/1.1" 200 73571
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/rosamia1.jpg HTTP/1.1" 200 652319
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:14 +0700] "GET /nbb/anh/vinpearl1.jpg HTTP/1.1" 200 646186
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:15 +0700] "GET /nbb/anh/hilton1.jpg HTTP/1.1" 200 173676
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:15 +0700] "GET /nbb/anh/dlg1.jpg HTTP/1.1" 200 728985
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:15 +0700] "GET /nbb/anh/golden1.jpg HTTP/1.1" 200 884548
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:15 +0700] "GET /nbb/css/back.png HTTP/1.1" 200 71612
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:15 +0700] "GET /nbb/css/anh3.png HTTP/1.1" 200 239003
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:15 +0700] "GET /nbb/css/anh4.png HTTP/1.1" 200 103282
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/trangchu?timdiadiem=sai+gon HTTP/1.1" 200 50572
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/anh/Cabana1.jpg HTTP/1.1" 200 535380
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/anh/Lucky1.jpg HTTP/1.1" 200 523653
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/anh/Cicilia1.jpg HTTP/1.1" 200 574415
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/anh/Sense1.jpg HTTP/1.1" 200 432316
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/anh/Queen1.jpg HTTP/1.1" 200 584523
0:0:0:0:0:0:0:1 - - [06/Jun/2021:16:13:45 +0700] "GET /nbb/anh/Suites1.jpg HTTP/1.1" 200 356351
